Ticker,Exchange,Name,Months,Number of Contracts,Quandl Code
HB,CME,"Henry Hub Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_HB
HG,CME,"Copper",FGHJKMNQUVXZ,11,CHRIS/CME_HG
HH,CME,"Natural Gas (Henry Hub) Last-day Financial",FGHJKMNQUVXZ,44,CHRIS/CME_HH
HK,SGX,"MSCI Hong Kong+ Index",FGHJKMNQUVXZ,2,CHRIS/SGX_HK
HK,CME,"NY Harbor ULSD Crack Spread",FGHJKMNQUVXZ,13,CHRIS/CME_HK
HMO,CME,"MISO Michigan Hub 5 MW Off-Peak Calendar-Month Day-Ahead",FGHJKMNQUVXZ,58,CHRIS/CME_HMO
HMW,CME,"MISO Michigan Hub 5 MW Peak Calendar-Month Day-Ahead",FGHJKMNQUVXZ,2,CHRIS/CME_HMW
HO,CME,"Heating Oil",FGHJKMNQUVXZ,17,CHRIS/CME_HO
HOB,CME,"NY Harbor ULSD Brent Crack Spread",FGHJKMNQUVXZ,3,CHRIS/CME_HOB
HP,CME,"Natural Gas (Henry Hub) Penultimate Financial",FGHJKMNQUVXZ,33,CHRIS/CME_HP
HR,CME,"U.S. Midwest Domestic Hot-Rolled Coil Steel (CRU) Index",FGHJKMNQUVXZ,10,CHRIS/CME_HR
I,LIFFE,"3-month EURIBOR",FGHJKMNQUVXZ,2,CHRIS/LIFFE_I
I3,CME,"30 Year Interest Rate Swap",HMUZ,2,CHRIS/CME_I3
I5,CME,"ERCOT North 345 kV Hub 5 MW Peak",FGHJKMNQUVXZ,22,CHRIS/CME_I5
I6,CME,"ERCOT North 345 kV Hub 5 MW Off-Peak",FGHJKMNQUVXZ,34,CHRIS/CME_I6
IB,ASX,"30-day Australian Interbank Cash Rate",FGHJKMNQUVXZ,2,CHRIS/ASX_IB
IBO,ICE,"Soybean Oil",FHKNQUVZ,2,CHRIS/ICE_IBO
IBV,CME,"Ibovespa Index",GJMQVZ,2,CHRIS/CME_IBV
IC,MGEX,"National Corn Index",FGHJKMNQUVXZ,1,CHRIS/MGEX_IC
ICN,ICE,"Corn",HKNUZ,2,CHRIS/ICE_ICN
ID,SGX,"MSCI Indonesia Index",FGHJKMNQUVXZ,2,CHRIS/SGX_ID
IH,MGEX,"Hard Red Winter Wheat Index",FGHJKMNQUVXZ,1,CHRIS/MGEX_IH
IN,CME,"Henry Hub Natural Gas (Platts Gas Daily/Platts IFERC) Index",HJ,2,CHRIS/CME_IN
IN,SGX,"Nifty Index",FGHJKMNQUVXZ,2,CHRIS/SGX_IN
IP,MGEX,"Hard Red Spring Wheat Index",FGHJKMNQUVXZ,1,CHRIS/MGEX_IP
IR,ASX,"90-day Australian Bank Bills",HMUZ,2,CHRIS/ASX_IR
IR,SGX,"Indonesia SICOM OTC TSR20 Rubber",FHJKMNQUVXZ,2,CHRIS/SGX_IR
IS,ICE,"Soybean",FHKNQUX,2,CHRIS/ICE_IS
IS,MGEX,"National Soybean Index",FGHJKMNQUVXZ,1,CHRIS/MGEX_IS
ISM,ICE,"Soybean Meal",FHKNQUVZ,2,CHRIS/ICE_ISM
IW,MGEX,"Soft Red Winter Wheat Index",FGHJKMNQUVXZ,1,CHRIS/MGEX_IW
IW,ICE,"Wheat",HKNUZ,2,CHRIS/ICE_IW
J,LIFFE,"3-month TIBOR",HMUZ,2,CHRIS/LIFFE_J
J2,CME,"PJM JCPL Zone Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,2,CHRIS/CME_J2
J4,CME,"PJM Western Hub Day-Ahead Peak Calendar-Month 5 MW  ",FGHJKMNQUVXZ,33,CHRIS/CME_J4
J7,CME,"E-mini Japanese Yen",MU,2,CHRIS/CME_J7
JB,SGX,"10-year Mini Japanese Government Bond",HMUZ,2,CHRIS/SGX_JB
JBA,TFX,"3-month Euroyen",FGHJKMNQUVXZ,10,CHRIS/TFX_JBA
JG,SGX,"10-year Full-Sized Japanese Government Bond",HMUZ,2,CHRIS/SGX_JG
JGB,LIFFE,"Japanese Government Bond",HMUZ,2,CHRIS/LIFFE_JGB
JM,CME,"PJM Western Hub Real-Time Peak Calendar-Month 2.5 MW",FGHJKMNQUVXZ,12,CHRIS/CME_JM
JP,CME,"PJM Off-Peak Calendar-Month LMP",FGHJKMNQUVXZ,2,CHRIS/CME_JP
JR,CME,"Dow Jones Real Estate",HMUZ,2,CHRIS/CME_JR
JS,CME,"Los Angeles Jet (OPIS) vs. NY Harbor ULSD",HJKM,2,CHRIS/CME_JS
JY,CME,"Japanese Yen",HMUZ,2,CHRIS/CME_JY
K2,CME,"MISO Indiana Hub (formerly Cinergy Hub) Day-Ahead Off-Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,58,CHRIS/CME_K2
K3,CME,"NYISO Zone A Day-Ahead Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,22,CHRIS/CME_K3
K4,CME,"NYISO Zone A Day-Ahead Off-Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,58,CHRIS/CME_K4
KA,CME,"NYISO Zone A Peak LBMP",FGHJKMNQUVXZ,4,CHRIS/CME_KA
KB,CME,"NYISO Zone A Off-Peak LBMP",FGHJKMNQUVXZ,2,CHRIS/CME_KB
KC,ICE,"Coffee C",HKNUZ,6,CHRIS/ICE_KC
KG,CME,"NYISO Zone G Peak LBMP",FGHJKMNQUVXZ,2,CHRIS/CME_KG
KH,CME,"NYISO Zone G Off-Peak LBMP",FGHJKMNQUVXZ,2,CHRIS/CME_KH
KI,CME,"ISO New England Monthly Off Peak LMP Swap Future",FGHJKMNQUVXZ,2,CHRIS/CME_KI
KJ,CME,"NYISO Zone J Peak LBMP",FGHJKMNQUVXZ,2,CHRIS/CME_KJ
KK,CME,"NYISO Zone J Off-Peak LBMP",FGHJKMNQUVXZ,2,CHRIS/CME_KK
KP,MCX,"Kapas",HJ,2,CHRIS/MCX_KP
KPK,MCX,"Kapaisa Khali",FGZ,1,CHRIS/MCX_KPK
KRF,SGX,"Platts Kerosene FOB Singapore Index",FGHJKMNQUVXZ,2,CHRIS/SGX_KRF
KRU,ICE,"Russian Ruble/US Dollar",HMUZ,2,CHRIS/ICE_KRU
KS,CME,"Singapore Jet Kerosene (Platts)",FGHJKMNQUVXZ,5,CHRIS/CME_KS
KW,CME,"KC HRW Wheat",HKNUZ,6,CHRIS/CME_KW
L,LIFFE,"Short Sterling",HMUVXZ,16,CHRIS/LIFFE_L
L1,CME,"PJM Western Hub Peak Calendar-Month Real-Time LMP",FGHJKMNQUVXZ,46,CHRIS/CME_L1
L3,CME,"PJM Northern Illinois Hub Day-Ahead Off-Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,22,CHRIS/CME_L3
L4,CME,"Tennessee 800 Leg Natural Gas (Platts Gas Daily/Platts IFERC) Index",H,2,CHRIS/CME_L4
L5,CME,"PJM PPL Zone Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,2,CHRIS/CME_L5
L6,CME,"PJM PSEG Zone Peak Calendar-Month Day-Ahead LMP 5 MW",FGHJKMNQUVXZ,3,CHRIS/CME_L6
L9,CME,"ISO New England West Central Massachusetts Zone 5 MW Off-Peak Calendar-Month Day Ahead LMP",FGHJKMNQUVXZ,34,CHRIS/CME_L9
LB,CME,"Lumber",FHKNUX,2,CHRIS/CME_LB
LC,CME,"Live Cattle",GJMQVZ,7,CHRIS/CME_LC
LGB,MX,"30-year Canadian Bond",HMUZ,2,CHRIS/MX_LGB
LGB,MX,"30-year Canadian Bond",HMUZ,2,CHRIS/MX_LGB
LN,CME,"Lean Hogs",GJKMNQVZ,10,CHRIS/CME_LN
LT,CME,"Gulf Coast ULSD (Platts) Up-Down",FGHJKMNQUVXZ,22,CHRIS/CME_LT
LY,CME,"Gulf Coast ULSD (Platts)",FGHJKMNQUVXZ,10,CHRIS/CME_LY
M,ICE,"UK Natural Gas",FGHJKMNQUVXZ,13,CHRIS/ICE_M
M6B,CME,"E-micro British Pound/American Dollar",MU,2,CHRIS/CME_M6B
M6E,CME,"E-micro Euro/American Dollar",MU,2,CHRIS/CME_M6E
MBE,CME,"Mont Belvieu Spot Ethylene In-Well",FGHJKMNQUVXZ,2,CHRIS/CME_MBE
MBN,CME,"Mont Belvieu Ethylene (PCW) Financial",FGHJKMNQUVXZ,2,CHRIS/CME_MBN
MCC,CME,"Indonesian Coal (McCloskey sub-bituminous)",FGHJKMNQUVXZ,2,CHRIS/CME_MCC
MD,CME,"S&P 400 MidCap Index",HMUZ,2,CHRIS/CME_MD
ME,CME,"Gulf Coast Jet (Platts) Up-Down",FGHJKMNQUVXZ,10,CHRIS/CME_ME
MEL,CME,"MISO Indiana Hub (formerly Cinergy Hub) Real-Time Peak Calendar-Month 2.5 MW",FGHJKMNQUVXZ,2,CHRIS/CME_MEL
MEO,CME,"Mini Gasoline Euro-bob Oxy NWE Barges (Argus)",FHJKMNQUVXZ,4,CHRIS/CME_MEO
MF,CME,"Gulf Coast No. 6 Fuel Oil 3.0% (Platts)",FGHJKMNQUVXZ,10,CHRIS/CME_MF
MFA,LIFFE,"Mini AEX Index",FGHJKMNQUVXZ,2,CHRIS/LIFFE_MFA
MFC,LIFFE,"Mini CAC40 Index",FGHJKMNQUVXZ,2,CHRIS/LIFFE_MFC
MFF,CME,"Coal (API4) FOB Richards Bay (ARGUS-McCloskey)",FGHJKMNQUVXZ,22,CHRIS/CME_MFF
MG,CME,"Gulf Coast No. 6 Fuel Oil (Platts) Crack Spread",FGHJKMNQUVXZ,2,CHRIS/CME_MG
MGC,CME,"E-micro Gold",GJMQVZ,2,CHRIS/CME_MGC
MJN,CME,"Mini Japan C&F Naphtha (Platts)",FGHJKMNQUVXZ,2,CHRIS/CME_MJN
MM,CME,"New York Harbor Residual Fuel 1.0% (Platts)",HJKMNQUVXZ,4,CHRIS/CME_MM
MNB,CME,"Mont Belvieu Normal Butane LDH (OPIS)",FGHJKMNQUVXZ,2,CHRIS/CME_MNB
MNC,CME,"Mini European Naphtha CIF NWE (Platts)",HJKMNQU,2,CHRIS/CME_MNC
MO,MCX,"Mentha Oil",FGHZ,2,CHRIS/MCX_MO
MOD,CME,"PJM ATSI Zone 5 MW Off-Peak Calendar-Month Day-Ahead",HJK,3,CHRIS/CME_MOD
MP,ICE,"Sm GBP/USD",HMUZ,2,CHRIS/ICE_MP
MP,CME,"Mexican Peso",FGHJKMNQUVXZ,2,CHRIS/CME_MP
MPE,LIFFE,"MSCI Europe Index NTR",HMUZ,3,CHRIS/LIFFE_MPE
MPX,CME,"NY Harbor ULSD Financial",FGHJKMNQUVXZ,10,CHRIS/CME_MPX
MR,SGX,"Malaysia SICOM OTC TSR20 Rubber",FHJKMNQUVXZ,2,CHRIS/SGX_MR
MTF,CME,"Coal (API2) CIF ARA (ARGUS-McCloskey)",FGHJKMNQUVXZ,34,CHRIS/CME_MTF
MTS,CME,"Mini Singapore Fuel Oil 380 cst (Platts)",FGHJKMNQUVXZ,4,CHRIS/CME_MTS
MW,MGEX,"Hard Red Spring Wheat",HKNUZ,6,CHRIS/MGEX_MW
N,ICE,"NYH RBOB Gasoline",FGHJKMNQUVXZ,6,CHRIS/ICE_N
N1,CME,"ERCOT West 345 kV Hub 5 MW Peak",FGHJKMNQUVXZ,11,CHRIS/CME_N1
N1U,CME,"10 Year USD Deliverable Interest Rate Swap",MU,2,CHRIS/CME_N1U
N1Y,CME,"Nikkei/Yen",HJKMNUZ,2,CHRIS/CME_N1Y
N3,CME,"PJM Northern Illinois Hub Day-Ahead LMP Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,11,CHRIS/CME_N3
N9,CME,"PJM Western Hub Real-Time Off-Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,58,CHRIS/CME_N9
NCF,ICE,"Newcastle Coal",FGHJKMNQUVXZ,2,CHRIS/ICE_NCF
ND,SGX,"Nikkei Stock Average Dividend Point Index",Z,8,CHRIS/SGX_ND
ND,CME,"NASDAQ 100",HMUZ,2,CHRIS/CME_ND
NE,CME,"New Zealand Dollar",HMUZ,2,CHRIS/CME_NE
NEN,CME,"ANR Oklahoma Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,12,CHRIS/CME_NEN
NF,CME,"Nonfat Dry Milk",FGHJKMNQUVXZ,4,CHRIS/CME_NF
NFN,CME,"MichCon Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_NFN
NG,CME,"Natural Gas",FGHJKMNQUVXZ,43,CHRIS/CME_NG
NG,MCX,"Natural Gas",FGHJKZ,2,CHRIS/MCX_NG
NH,CME,"Houston Ship Channel Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,9,CHRIS/CME_NH
NI,CME,"ISO New England Mass Hub Day-Ahead Peak Calendar-Month 2.5 MW",FGHJKMNQUVXZ,2,CHRIS/CME_NI
NI,MCX,"Nickel",FGHJKMNQUVXZ,2,CHRIS/MCX_NI
NIM,MCX,"Nickel Mini",FGHJKMNQUVXZ,2,CHRIS/MCX_NIM
NJ,CME,"San Juan Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_NJ
NJ,ICE," Norwegian Krone/Swedish Krona",HMUZ,2,CHRIS/ICE_NJ
NJF,SGX,"Platts Naphtha CFR Japan Index",FGHJKMNQUVXZ,2,CHRIS/SGX_NJF
NK,CME,"Nikkei 225 Index",HMUZ,2,CHRIS/CME_NK
NK,SGX,"Nikkei 225 Index",FGHJKMNQUVXZ,10,CHRIS/SGX_NK
NK225,OSE,"Nikkei 225",HMUZ,2,CHRIS/OSE_NK225
NK225M,OSE,"Nikkei 225 Mini",FGHJKMNQUVXZ,2,CHRIS/OSE_NK225M
NK300,OSE,"Nikkei 300",HMUZ,2,CHRIS/OSE_NK300
NKN,CME,"Sumas Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_NKN
NKVI,OSE,"Nikkei Stock Average Volatility Index",FGHJKMNQUVXZ,2,CHRIS/OSE_NKVI
NL,CME,"NGPL Mid-Con Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,5,CHRIS/CME_NL
NN,CME,"Henry Hub Swap",FGHJKMNQUVXZ,60,CHRIS/CME_NN
NP,CME,"Henry Hub Penultimate NP",FGHJKMNQUVXZ,57,CHRIS/CME_NP
NQ,CME,"E-mini NASDAQ 100 Index",HMUZ,2,CHRIS/CME_NQ
NR,CME,"Rockies Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,9,CHRIS/CME_NR
NS,CME,"SoCal Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_NS
NT,ICE,"US Dollar/Norwegian Krone",HMUZ,2,CHRIS/ICE_NT
NU,SGX,"USD Nikkei 225 Index",HMUZ,2,CHRIS/SGX_NU
NW,CME,"Waha Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_NW
NX,CME,"Texas Eastern Zone M-3 Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,7,CHRIS/CME_NX
NYF,CME,"NY Fuel Oil 1.0% (Platts) vs. European 1% Fuel Oil Cargoes FOB NWE (Platts)",HJKMNQU,2,CHRIS/CME_NYF
NZ,CME,"Transco Zone 6 Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_NZ
O,CME,"Oats",HKNUZ,3,CHRIS/CME_O
O,ICE,"Heating Oil",FGHJKMNQUVXZ,5,CHRIS/ICE_O
O1,CME,"ERCOT West 345 kV Hub 5 MW Off-Peak",FGHJKMNQUVXZ,22,CHRIS/CME_O1
OFM,CME,"Ontario Off-Peak Calendar-Month",FGHJKMNQUVXZ,34,CHRIS/CME_OFM
OI,ASX,"3-month Overnight Index Swap",HMUZ,4,CHRIS/ASX_OI
OIS,MX,"Overnight Index Swap",FGHJKMNQUVXZ,2,CHRIS/MX_OIS
OJ,ICE,"Orange Juice",FHKNUX,7,CHRIS/ICE_OJ
ONX,MX,"30-day Canadian Overnight Repo Rate",HMUZ,2,CHRIS/MX_ONX
OPM,CME,"Ontario Peak Calendar-Month",FGHJKMNQUVXZ,22,CHRIS/CME_OPM
OR,ODE,"Osaka Rice",FGHJKMNQUVXZ,5,CHRIS/ODE_OR
OV,CBOE,"Crude Oil ETF VIX",FGHJKMNQUVXZ,2,CHRIS/CBOE_OV
P,ICE,"UK Peak Electricity",FGHJKMNQUVXZMUZ,2,CHRIS/ICE_P
P,ICE,"UK Peak Electricity",FGHJKMNQUVXZ,2,CHRIS/ICE_P
P5,CME,"ISO New England South East Massachusetts Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,2,CHRIS/CME_P5
P7,CME,"ISO New England North East Massachusetts Zone 5 MW Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,2,CHRIS/CME_P7
P8,CME,"ISO New England North East Massachusetts Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,22,CHRIS/CME_P8
PA,CME,"Palladium",HJKMUZ,2,CHRIS/CME_PA
PB,SHFE,"Lead",FGHJKMNQUVXZ,4,CHRIS/SHFE_PB
PB,MCX,"Lead",FGHJKMNQUVXZ,2,CHRIS/MCX_PB
PBM,MCX,"Lead Mini",FGHJKMNQUVXZ,2,CHRIS/MCX_PBM
PC,CME,"PG&E Citygate Natural Gas (Platts IFERC) Basis",JKMNQUVXZ,2,CHRIS/CME_PC
PD,CME,"NGPL TexOk Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,19,CHRIS/CME_PD
PDM,CME,"MISO Indiana Hub Day-Ahead Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,2,CHRIS/CME_PDM
PF,CME,"Ventura Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_PF
PG,CME,"Dominion South Point Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,11,CHRIS/CME_PG
PH,CME,"Panhandle Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,21,CHRIS/CME_PH
PL,CME,"Platinum",FHJKNV,3,CHRIS/CME_PL
POT,MCX,"Potato",HJKM,2,CHRIS/MCX_POT
PSI,LIFFE,"PSI 20 Index",HMUZ,2,CHRIS/LIFFE_PSI
PTM,CME,"MISO Indiana Hub Real-Time Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,10,CHRIS/CME_PTM
PZ,CME,"Polish Zloty",HMUZ,2,CHRIS/CME_PZ
Q,LIFFE,"FTSE Eurotop 100 Index",HMUZ,2,CHRIS/LIFFE_Q
Q5,CME,"NYISO Zone C 5 MW Peak Calendar-Month Day-Ahead LBMP",FGHJKMNQUVXZ,2,CHRIS/CME_Q5
QG,CME,"E-mini Natural Gas",FGHJKMNQUVXZ,2,CHRIS/CME_QG
QL,CME,"Coal",FGHJKMNQUVXZ,2,CHRIS/CME_QL
QM,CME,"E-mini Crude Oil",FGHJKMNQUVXZ,4,CHRIS/CME_QM
QP,CME,"Powder River Basin Coal (Platts OTC Broker Index)",FGHJKMNQUVXZ,6,CHRIS/CME_QP
QX,CME,"Eastern Rail Delivery CSX Coal",FGHJKMNQUVXZ,9,CHRIS/CME_QX
R,LIFFE,"Long Gilt",HMUZ,2,CHRIS/LIFFE_R
R3,CME,"PJM BGE Zone Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,27,CHRIS/CME_R3
R6,CME,"ISO New England West Central Massachusetts Zone 5 MW Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,2,CHRIS/CME_R6
R7,CME,"PJM AEP Dayton Hub Day-Ahead Off-Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,22,CHRIS/CME_R7
RA,CME,"South African Rand",FGHJKMNQUVXZ,2,CHRIS/CME_RA
RB,SHFE,"Steel Rebar",FGHJKMNQUVXZ,11,CHRIS/SHFE_RB
RB,CME,"Gasoline",FGHJKMNQUVXZ,10,CHRIS/CME_RB
RBB,CME,"RBOB Gasoline Brent Crack Spread",FGHJKMNQUVXZ,10,CHRIS/CME_RBB
RC,LIFFE,"Coffee",FHKNUX,6,CHRIS/LIFFE_RC
RF,CME,"Euro/Swiss Franc",HMUZ,2,CHRIS/CME_RF
RF,ICE,"Russell 1000",HMUZ,2,CHRIS/ICE_RF
RG,ICE,"Russell Growth",HMUZ,2,CHRIS/ICE_RG
RGF,SGX,"Singapore Regrade Spread",FGHJKMNQUVXZ,2,CHRIS/SGX_RGF
RK,CME,"Singapore Jet Kerosene (Platts) vs. Gasoil (Platts)",FGHJKMNQUVXZ,10,CHRIS/CME_RK
RL,CME,"RBOB Gasoline Financial",FGHJKMNQUVXZ,8,CHRIS/CME_RL
RM,CME,"RBOB Gasoline Crack Spread",HJKMNQUVXZ,10,CHRIS/CME_RM
RP,CME,"Euro/British Pound",HMUZ,2,CHRIS/CME_RP
RR,CME,"Rough Rice",FHKNUX,3,CHRIS/CME_RR
RS,ICE,"Canola",FHKNX,5,CHRIS/ICE_RS
RS,ICE,"Canola",FHKNX,5,CHRIS/ICE_RS
RS,ODE,"Raw Sugar",FHKNUX,5,CHRIS/ODE_RS
RT,SGX,"SICOM RSS3 Rubber",FHJKMNQUVXZ,2,CHRIS/SGX_RT
RU,CME,"Russian Ruble",FGHJKMNQUVXZ,7,CHRIS/CME_RU
RU,SHFE,"Natural Rubber",FHJKMNQUVX,2,CHRIS/SHFE_RU
RV,ICE,"Russell Value",HMUZ,2,CHRIS/ICE_RV
RV,CME,"Gulf Coast Unl 87 Gasoline M1 (Platts) vs. RBOB Gasoline",HJKMNQUVXZ,7,CHRIS/CME_RV
RY,CME,"Euro/Japanese Yen",HMUZ,2,CHRIS/CME_RY
S,CME,"Soybeans",FHKNQUX,10,CHRIS/CME_S
S,LIFFE,"EUROSWISS Interest Rate",HMUZ,8,CHRIS/LIFFE_S
S4,CME,"PJM APS Zone Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,2,CHRIS/CME_S4
SA,CME,"5 Year Interest Rate Swap",HMUZ,2,CHRIS/CME_SA
SB,ODE,"US Soybeans",GJQVZ,5,CHRIS/ODE_SB
SB,ICE,"Sugar No. 11",HKNUV,6,CHRIS/ICE_SB
SCF,MX,"Mini S&P/TSX Composite Index",HMUZ,4,CHRIS/MX_SCF
SD,CME,"Singapore Fuel Oil 180 cst (Platts) vs. 380 cst (Platts)",FGHJKMNQUVXZ,2,CHRIS/CME_SD
SE,CME,"Singapore Fuel Oil 380 cst (Platts)",FGHJKMNQUVXZ,3,CHRIS/CME_SE
SF,ICE,"Sugar",FHKNUX,5,CHRIS/ICE_SF
SF,ICE,"Sugar No. 16",FHKNUX,5,CHRIS/ICE_SF
SF,CME,"Swiss Franc",HMUZ,2,CHRIS/CME_SF
SG,CME,"Singapore Gasoil (Platts)",HJKMNQUVXZ,6,CHRIS/CME_SG
SG,SGX,"MSCI Singapore Index",FGHJKMNQUVXZ,2,CHRIS/SGX_SG
SI,CME,"Silver",FHJKNUZ,12,CHRIS/CME_SI
SI,MCX,"Silver",HKNUZ,2,CHRIS/MCX_SI
SIM,MCX,"Silver Mini",FGHJKMNQUVXZ,2,CHRIS/MCX_SIM
SM,CME,"Soybean Meal",FHKNQUVZ,11,CHRIS/CME_SM
SP,CME,"Full-Size S&P 500 Index",HMUZ,3,CHRIS/CME_SP
SS,ICE,"GBP/CHF",HMUZ,2,CHRIS/ICE_SS
SSI,CME,"Coal (API 8) cfr South China (Argus/McCloskey)",FGHJKMNQUVXZ,2,CHRIS/CME_SSI
ST,SGX,"FTSE Straits Times Index",FGHJKMNQUVXZ,2,CHRIS/SGX_ST
STLRPR,MCX,"Steel",FZ,1,CHRIS/MCX_STLRPR
SXA,MX,"S&P/TSX Global Gold Index",HMUZ,2,CHRIS/MX_SXA
SXB,MX,"S&P/TSX Capped Financials Index ",HMUZ,2,CHRIS/MX_SXB
SXF,MX,"S&P/TSX 60 Index",HMUZ,4,CHRIS/MX_SXF
SXH,MX,"S&P/TSX Capped Information Technology Index",HMUZ,2,CHRIS/MX_SXH
SXM,MX,"Mini S&P/TSX 60 Index",HMUZ,4,CHRIS/MX_SXM
SXY,MX,"S&P/TSX Capped Energy Index ",HMUZ,2,CHRIS/MX_SXY
SY,ICE,"GBP/JPY",HMUZ,2,CHRIS/ICE_SY
SZ,CME,"Southern Natural Louisiana Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_SZ
T,LIFFE,"Feed Wheat",FHKMX,7,CHRIS/LIFFE_T
T,ICE,"WTI Crude",FGHJKMNQUVXZ,7,CHRIS/ICE_T
T3,CME,"NYISO Zone G Day-Ahead Peak Calendar-Month 5 MW",FGHJKMNQUVXZ,34,CHRIS/CME_T3
TC,CME,"Columbia Gas TCO (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_TC
TF,ICE,"Russell Small-Cap",HMUZ,2,CHRIS/ICE_TF
TF,SGX,"SICOM Rubber",FHJKMNQUVXZ,5,CHRIS/SGX_TF
TFM,ICE,"Endex Dutch TTF Gas Base Load",FGHJKMNQUVXZ,2,CHRIS/ICE_TFM
TIB,ICE,"WTI vs Brent Spread Option",FGHJKMNQUVXZ,4,CHRIS/ICE_TIB
TIO,CME,"Iron Ore 62% Fe CFR China (TSI)",FGHJKMNQUVXZ,4,CHRIS/CME_TIO
TN,ASX,"10-year New Zealand Government Stock",HMUZ,2,CHRIS/ASX_TN
TPI,LIFFE,"TOPIX Index",HMUZ,2,CHRIS/LIFFE_TPI
TR,CME,"Transco Zone 4 Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,2,CHRIS/CME_TR
TR,SGX,"Thailand SICOM OTC TSR20 Rubber",FHJKMNQUVXZ,2,CHRIS/SGX_TR
TR,ODE,"Tokyo Rice",FGHJKMNQUVXZ,5,CHRIS/ODE_TR
TRY,CME,"Turkish Lira",HMUZ,2,CHRIS/CME_TRY
TU,CME,"2 Year Treasury Note",HMUZ,2,CHRIS/CME_TU
TW,SGX,"MSCI Taiwan Index",FGHJKMNQUVXZ,2,CHRIS/SGX_TW
TY,ASX,"3-year New Zealand Government Stock",HMUZ,2,CHRIS/ASX_TY
TY,CME,"10 Year Treasury Note",HMUZ,2,CHRIS/CME_TY
TZ6,CME,"Transco Zone 6 Non-N.Y. Natural Gas (Platts IFERC) Basis",FGHJKMNQUVXZ,7,CHRIS/CME_TZ6
U3,CME,"ISO New England New Hampshire Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,12,CHRIS/CME_U3
U4,CME,"ISO New England Rhode Island Zone 5 MW Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,8,CHRIS/CME_U4
U5,CME,"ISO New England Rhode Island Zone 5 MW Off-Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,22,CHRIS/CME_U5
U6,CME,"ISO New England Mass Hub 5 MW Peak Calendar-Month Day-Ahead LMP",FGHJKMNQUVXZ,10,CHRIS/CME_U6
UA,CME,"Singapore Fuel Oil 180 cst (Platts)",FGHJKMNQUVXZ,3,CHRIS/CME_UA
UB,ASX,"Feed Barley",FHKNUX,7,CHRIS/ASX_UB
UB,CME,"Dated Brent (Platts) Financial",FGHJKMNQUVXZ,5,CHRIS/CME_UB
UL,CME,"Ultra Treasury Bond",HMUZ,2,CHRIS/CME_UL
ULS,ICE,"Low Sulphur Gasoil",FGHJKMNQUVXZ,2,CHRIS/ICE_ULS
ULS,ICE,"Low Sulphur Gasoil",FGHJKMNQUVXZ,2,CHRIS/ICE_ULS
UM,CME,"PJM Northern Illinois Hub Real-Time Peak Calendar-Month 2.5 MW",FGHJKMNQUVXZ,2,CHRIS/CME_UM
